codigo;codigo_anterior;uf;lat;lon;responsavel;regime;enquadramento;corpo_hidrico;contagem;media;minimo;maximo;data_inicial;data_final;desvio_padrao;variancia;periodo_anos;frequencia_ano
1;;AL;-9,596306;-35,800917;IMA;lotico;12;Rio Mundaú;18;1,14611111111111;0,11;4,02;2007-05-06;2011-11-23;1,10149705021574;1,21329575163399;4,5534520547945205;3,9530448071912925
11;;AL;-9,71289;-35,796456;IMA;lotico;12;Zona dos Canais;19;0,742631578947369;0,04;2,55;2007-05-06;2011-11-23;0,793801277295682;0,630120467836257;4,5534520547945205;4,1726584075908088
13;;AL;-9,716972;-35,804333;IMA;lotico;12;Boca da Barra;18;1,42555555555556;0,02;9,02;2007-05-06;2011-11-23;2,68115037255679;7,18856732026144;4,5534520547945205;3,9530448071912925
15;;AL;-9,682417;-35,769917;IMA;lentico;12;Lagoa Mundaú;19;0,999473684210526;0,01;8,17;2007-05-06;2011-11-23;1,99357154007076;3,97432748538012;4,5534520547945205;4,1726584075908088
17;;AL;-9,694583;-35,816722;IMA;lentico;12;Lagoa Manguaba;20;0,961;0,03;6,64;2007-05-06;2011-11-23;1,59425250591981;2,54164105263158;4,5534520547945205;4,3922720079903250
18;;AL;-9,69275;-35,813778;IMA;lentico;12;Lagoa Manguaba;20;0,5025;0,03;2,37;2007-05-06;2011-11-23;0,65776235510211;0,432651315789474;4,5534520547945205;4,3922720079903250
20;;AL;-9,72675;-35,840972;IMA;lentico;12;Lagoa Manguaba;20;0,9485;0,03;3,77;2007-05-06;2011-11-23;1,1681666923229;1,36461342105263;4,5534520547945205;4,3922720079903250
21;;AL;-9,726944;-35,885278;IMA;lentico;12;Lagoa Manguaba;20;0,8865;0,02;3,15;2007-05-06;2011-11-23;0,94893999033825;0,900487105263158;4,5534520547945205;4,3922720079903250
22;;AL;-9,717083;-35,891222;IMA;lentico;12;Lagoa Manguaba;20;0,738;0,03;3,16;2007-05-06;2011-11-23;0,87747604555698;0,769964210526316;4,5534520547945205;4,3922720079903250
24;;AL;-9,645861;-35,913806;IMA;lentico;12;Lagoa Manguaba;20;1,109;0,04;6,64;2007-05-06;2011-11-23;1,7251816075264;2,97625157894737;4,5534520547945205;4,3922720079903250
25;;AL;-9,634444;-35,95875;IMA;lentico;12;Lagoa Manguaba;20;0,8325;0,1;4,05;2007-05-06;2011-11-23;0,990921288498738;0,981925;4,5534520547945205;4,3922720079903250
26;;AL;-9,616028;-35,960333;IMA;lentico;12;Rio Paraíba do Meio;20;0,737;0,04;2,7;2007-05-06;2011-11-23;0,803944878969356;0,646327368421052;4,5534520547945205;4,3922720079903250
3;;AL;-9,595806;-35,783472;IMA;lentico;12;Lagoa Mundaú;18;0,851666666666667;0,1;3,06;2007-05-06;2011-11-23;0,789066835311328;0,622626470588235;4,5534520547945205;3,9530448071912925
4;;AL;-9,606194;-35,801861;IMA;lentico;12;Lagoa Mundaú;18;0,925555555555556;0,06;3,32;2007-05-06;2011-11-23;0,932423926701244;0,869414379084967;4,5534520547945205;3,9530448071912925
5;;AL;-9,623083;-35,7825;IMA;lentico;12;Lagoa Mundaú;20;1,141;0,05;7,57;2007-05-06;2011-11-23;1,6047295230366;2,57515684210526;4,5534520547945205;4,3922720079903250
6;;AL;-9,634694;-35,788944;IMA;lentico;12;Lagoa Mundaú;20;1,3485;0,04;6,73;2007-05-06;2011-11-23;1,71995188121186;2,95823447368421;4,5534520547945205;4,3922720079903250
8;;AL;-9,654361;-35,749333;IMA;lentico;12;Lagoa Mundaú;19;0,748947368421053;0,07;3,08;2007-05-06;2011-11-23;0,830788746626041;0,690209941520467;4,5534520547945205;4,1726584075908088
9;;AL;-9,659417;-35,768;IMA;lentico;12;Lagoa Mundaú;19;0,911578947368421;0,03;5,51;2007-05-06;2011-11-23;1,34504135895888;1,80913625730994;4,5534520547945205;4,1726584075908088
RioMundau;;AL;-9,578511;-35,835096;IMA;lotico;12;Rio Mundaú;24;0,145833333333333;0,04;0,403;2016-01-12;2017-12-28;0,0887711599596383;0,00788031884057969;1,9616712328767123;12,2344659990782253
RioParaiba;;AL;-9,5073;-36,022342;IMA;lotico;12;Rio Paraíba do Meio;24;0,101083333333333;0,023;0,202;2016-01-12;2017-12-28;0,0369334497460625;0,00136407971014493;1,9616712328767123;12,2344659990782253
CNDCER002;;BA;-14,284444;-42,680556;INEMA;lentico;12;Açude Ceraíma;10;0,165;0,02;0,48;2014-12-16;2018-02-01;0,13794121131039;0,0190277777777778;3,1315342465753425;3,1933228930630528
CNDCND600;;BA;-13,9763;-43,3519;INGÁ;lotico;12;Carnaíba de Dentro;9;0,173333333333333;0;1,09;2009-02-05;2016-04-14;0,347311099736245;0,120625;7,1918082191780822;1,2514238040997939
CNDRSF120;;BA;-14,309361;-43,766611;INGÁ;lotico;2;Rio São Francisco;9;0,0233333333333333;0;0,06;2008-03-06;2010-05-26;0,0212132034355964;0,00045;2,2219452054794521;4,0505049259565233
CNDRSF300;;BA;-12,688222;-43,188667;INGÁ;lotico;2;Rio São Francisco;27;0,072962962962963;0;0,22;2008-03-04;2018-02-05;0,0643795724180376;0,00414472934472934;9,9315342465753425;2,7186131900325792
